route_id,service_id,agency_id,route_short_name,route_long_name,route_service_name,route_desc,route_type,route_url,route_color,route_text_color,bikes_allowed
9315,93,MMT,40,,GRNDVIEW/TODD:STP,Daily schedule trips operate regularly every 60 minutes. Additional weekday schedule trips operate regularly at least every 30 minutes from approximately 6 AM until 6 PM. Limited weekday trips operate via Todd.,3,http://www.cityofmadison.com/metro/routes-schedules/route-40,64ACCD,000000,1
9316,93,MMT,44,,U CAMPUS:SOUTH TP,Weekday schedule trips operate regularly northbound every 30 minutes from approximately 6 AM until 9 AM and southbound every 30 minutes from approximately 3 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-44,8F8A64,000000,1
9317,93,MMT,47,,ARBOR HL:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-47,885CA0,000000,1
9318,93,MMT,48,,U CAMPUS:SOUTH TP,Weekday schedule trips operate regularly every 30 minutes southbound from approximately 7 AM until 8 AM and northbound every 30 minutes from approximately 4 PM until 5 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-48,D77AA9,000000,1
9319,93,MMT,49,,LACY-HATCHERY:SOUTH TP,Weekday schedule trips operate regularly every 30 minutes from approximately 6 AM until 8 AM and 4 PM until 6 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-49,7FC241,000000,1
9320,93,MMT,50,,RAYMOND:WEST TP,Weekday schedule trips operate regularly every 30 minutes. Weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-50,D77734,000000,1
9321,93,MMT,51,,MUIR FLD:WEST TP,Daily schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-51,D05898,000000,1
9322,93,MMT,52,,ORCHARD PT:WEST TP,Weekday schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-52,6D2C50,FFFFFF,1
9323,93,MMT,55,,VERONA:WEST TP,Weekday schedule trips operate at least every 60 minutes from approximately 7 AM until 9 AM and 5 PM until 7 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-55,D5BC5B,000000,1
9324,93,MMT,56,,MC KEE:NORTH TP/WTP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-56,937A6C,000000,1
9325,93,MMT,57,,MC KEE:NORTH TP/WTP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-57,84743E,000000,1
9326,93,MMT,58,,GRNTREE:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-58,A0A197,000000,1
9327,93,MMT,59,,FITCHBURG:WEST TP,Weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-59,E09FC0,000000,1
9328,93,MMT,63,,PR TOWN:WEST TP,Weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-63,D7A23A,000000,1
9329,93,MMT,67,,W TOWNE:WEST TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-67,6584A4,000000,1
9330,93,MMT,68,,PR TOWN:WEST TP,Weekend/holiday trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-68,5EA95A,000000,1
9331,93,MMT,70,,MIDDLTON:CAP SQR,Weekday schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-70,A8B1DA,000000,1
9332,93,MMT,71,,MIDDLTON:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-71,B67F72,000000,1
9333,93,MMT,72,,MIDDLTON:CAP SQR,Weekday schedule trips operate regularly every 30 minutes eastbound from approximately 6 AM until 8 AM and westbound every 30 minutes from approximately 3 PM until 5 PM. Limited trips operate westbound in the AM and eastbound in the PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-72,841D1D,FFFFFF,1
9334,93,MMT,73,,MIDDLTON:WEST TP,Weekday schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-73,DFB93E,000000,1
9335,93,MMT,75,,VERONA:CAP SQR,Weekday schedule trips operate at least every 60 minutes from approximately 7 AM until 9 AM and 5 PM until 7 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-75,E0993A,000000,1
9336,93,MMT,78,,MIDDLTON:WEST TP,Saturday schedule trips operate regularly every 60 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-78,365AA6,FFFFFF,1
9337,93,MMT,80,,UW CAMPUS:UNION,Daily schedule trips operate at least every 50 minutes. Additional weekday schedule trips operate at least every 15 minutes from approximately 7 AM until 6 PM. Trips operate on limited Campus Holidays only.,3,http://www.cityofmadison.com/metro/routes-schedules/route-80,B33927,000000,1
9338,93,MMT,81,,JOHNSON/W WASH:UNION,Daily schedule trips operate regularly every 30 minutes from approximately 6 PM until 2 AM. No trips operate during Campus Recess or on Campus Holidays.,3,http://www.cityofmadison.com/metro/routes-schedules/route-81,DD9139,000000,1
9339,93,MMT,82,,OBSRVTRY/BREESE:UNION,Daily schedule trips operate regularly every 30 minutes from approximately 6 PM until 2 AM. No trips operate during Campus Recess or on Campus Holidays.,3,http://www.cityofmadison.com/metro/routes-schedules/route-82,3F6AB2,000000,1
9340,93,MMT,84,,EAGLE HTS:UW CAMPUS,Weekday schedule trips operate at least every 30 minutes from approximately 4 PM until 7 PM. Additional weekday schedule trips operate on Standard service days only from approximately 9 AM until 4 PM.,3,http://www.cityofmadison.com/metro/routes-schedules/route-84,60348E,000000,1
9359,94,MMT,01,,OLD UNIV:CAP SQR,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-1,E3D23E,000000,1
9360,94,MMT,02,,WEST TP:NORTH TP,Daily schedule trips operate regularly every 30 minutes.,3,http://www.cityofmadison.com/metro/routes-schedules/route-2,981F66,FFFFFF,1
9361,94,MMT,03,,WEST TP:EAST TP,Weekday schedule trips suspended until further notice.,3,http://www.cityofmadison.com/metro/routes-schedules/route-3,CD8382,000000,1
