Station,Direction,Year,Month,Day,Time_Period,Volume,OBJECTID
130032 Washington,Inbound,2016,January,Sunday,4-5 AM,73,148
130032 Washington,Inbound,2016,January,Sunday,5-6 AM,133,149
130032 Washington,Inbound,2016,January,Sunday,6-7 AM,300,150
130032 Washington,Inbound,2016,January,Sunday,7-8 AM,286,151
130032 Washington,Inbound,2016,January,Sunday,8-9 AM,464,152
130032 Washington,Inbound,2016,January,Sunday,9-10 AM,642,153
130032 Washington,Inbound,2016,January,Sunday,10-11 AM,882,154
130032 Washington,Inbound,2016,January,Sunday,11-12 AM,1071,155
130032 Washington,Inbound,2016,January,Sunday,12-1 PM,1149,156
130032 Washington,Inbound,2016,January,Sunday,1-2 PM,1097,157
130032 Washington,Inbound,2016,January,Sunday,2-3 PM,1113,158
130032 Washington,Inbound,2016,January,Sunday,3-4 PM,1093,159
130032 Washington,Inbound,2016,January,Sunday,4-5 PM,1018,160
130032 Washington,Inbound,2016,January,Sunday,5-6 PM,994,161
130032 Washington,Inbound,2016,January,Sunday,6-7 PM,870,162
130032 Washington,Inbound,2016,January,Sunday,7-8 PM,684,163
130032 Washington,Inbound,2016,January,Sunday,8-9 PM,488,164
130032 Washington,Inbound,2016,January,Sunday,9-10 PM,446,165
130032 Washington,Inbound,2016,January,Sunday,10-11 PM,365,166
130032 Washington,Inbound,2016,January,Sunday,11-12 PM,222,167
130032 Washington,Outbound,2017,January,Monday,12-1 AM,139,168
130032 Washington,Outbound,2017,January,Monday,1-2 AM,95,169
130032 Washington,Outbound,2017,January,Monday,2-3 AM,72,170
130032 Washington,Outbound,2017,January,Monday,3-4 AM,66,171
130032 Washington,Outbound,2017,January,Monday,4-5 AM,114,172
130032 Washington,Outbound,2017,January,Monday,5-6 AM,180,173
130032 Washington,Outbound,2017,January,Monday,6-7 AM,414,174
130032 Washington,Outbound,2017,January,Monday,7-8 AM,503,175
130032 Washington,Outbound,2017,January,Monday,8-9 AM,476,176
130032 Washington,Outbound,2017,January,Monday,9-10 AM,697,177
130032 Washington,Outbound,2017,January,Monday,10-11 AM,734,178
130032 Washington,Outbound,2017,January,Monday,11-12 AM,1212,179
130032 Washington,Outbound,2017,January,Monday,12-1 PM,1387,180
130032 Washington,Outbound,2017,January,Monday,1-2 PM,1357,181
130032 Washington,Outbound,2017,January,Monday,2-3 PM,1579,182
130032 Washington,Outbound,2017,January,Monday,3-4 PM,2102,183
130032 Washington,Outbound,2017,January,Monday,4-5 PM,2598,184
130032 Washington,Outbound,2017,January,Monday,5-6 PM,1743,185
130032 Washington,Outbound,2017,January,Monday,6-7 PM,1378,186
130032 Washington,Outbound,2017,January,Monday,7-8 PM,894,187
130032 Washington,Outbound,2017,January,Monday,8-9 PM,677,188
130032 Washington,Outbound,2017,January,Monday,9-10 PM,527,189
130032 Washington,Outbound,2017,January,Monday,10-11 PM,388,190
130032 Washington,Outbound,2017,January,Monday,11-12 PM,297,191
130032 Washington,Outbound,2017,January,Tuesday,12-1 AM,168,192
130032 Washington,Outbound,2017,January,Tuesday,1-2 AM,113,193
130032 Washington,Outbound,2017,January,Tuesday,2-3 AM,86,194
130032 Washington,Outbound,2017,January,Tuesday,3-4 AM,75,195
130032 Washington,Outbound,2017,January,Tuesday,4-5 AM,111,196
130032 Washington,Outbound,2017,January,Tuesday,5-6 AM,253,197
130032 Washington,Outbound,2017,January,Tuesday,6-7 AM,619,198
130032 Washington,Outbound,2017,January,Tuesday,7-8 AM,1255,199
130032 Washington,Outbound,2017,January,Tuesday,8-9 AM,1208,200
130032 Washington,Outbound,2017,January,Tuesday,9-10 AM,1038,201
130032 Washington,Outbound,2017,January,Tuesday,10-11 AM,1078,202
130032 Washington,Outbound,2017,January,Tuesday,11-12 AM,1270,203
130032 Washington,Outbound,2017,January,Tuesday,12-1 PM,1375,204
130032 Washington,Outbound,2017,January,Tuesday,1-2 PM,1431,205
130032 Washington,Outbound,2017,January,Tuesday,2-3 PM,1747,206
130032 Washington,Outbound,2017,January,Tuesday,3-4 PM,2349,207
130032 Washington,Outbound,2017,January,Tuesday,4-5 PM,3001,208
130032 Washington,Outbound,2017,January,Tuesday,5-6 PM,2747,209
130032 Washington,Outbound,2017,January,Tuesday,6-7 PM,1459,210
130032 Washington,Outbound,2017,January,Tuesday,7-8 PM,1040,211
130032 Washington,Outbound,2017,January,Tuesday,8-9 PM,891,212
130032 Washington,Outbound,2017,January,Tuesday,9-10 PM,706,213
130032 Washington,Outbound,2017,January,Tuesday,10-11 PM,479,214
130032 Washington,Outbound,2017,January,Tuesday,11-12 PM,314,215
130032 Washington,Outbound,2017,January,Wednesday,12-1 AM,197,216
130032 Washington,Outbound,2017,January,Wednesday,1-2 AM,131,217
130032 Washington,Outbound,2017,January,Wednesday,2-3 AM,89,218
130032 Washington,Outbound,2017,January,Wednesday,3-4 AM,65,219
130032 Washington,Outbound,2017,January,Wednesday,4-5 AM,106,220
130032 Washington,Outbound,2017,January,Wednesday,5-6 AM,245,221
130032 Washington,Outbound,2017,January,Wednesday,6-7 AM,600,222
130032 Washington,Outbound,2017,January,Wednesday,7-8 AM,1259,223
