row_info,upt,vrm,vrh,voms
5 digit NTD ID,50005.0,50005.0,50005.0,50005.0
4 digit NTD ID,5005,5005,5005,5005
Agency,City of Madison,City of Madison,City of Madison,City of Madison
Active,Active,Active,Active,Active
Reporter Type,Full Reporter,Full Reporter,Full Reporter,Full Reporter
UZA,92.0,92.0,92.0,92.0
UZA Name,"Madison, WI","Madison, WI","Madison, WI","Madison, WI"
Modes,MB,MB,MB,MB
TOS,DO,DO,DO,DO
JUN17,801510.0,409147.0,32460.0,182.0
JUL17,753805.0,387783.0,30768.0,182.0
AUG17,799340.0,420615.0,33502.0,182.0
SEP17,1116085.0,420955.0,33598.0,182.0
OCT17,1181518.0,451579.0,36078.0,182.0
NOV17,1208373.0,421572.0,33633.0,182.0
DEC17,1025443.0,417746.0,33278.0,182.0
JAN18,1063612.0,429959.0,34058.0,182.0
FEB18,1310028.0,409503.0,32718.0,182.0
MAR18,1222362.0,444187.0,35381.0,182.0
APR18,1300014.0,435950.0,34780.0,182.0
MAY18,1038121.0,443340.0,35099.0,182.0
JUN18,792640.0,403859.0,31923.0,182.0
JUL18,772623.0,400657.0,31712.0,182.0
AUG18,800997.0,424499.0,33756.0,182.0
SEP18,1208904.0,393747.0,32953.0,182.0
OCT18,1445019.0,441859.0,37148.0,182.0
NOV18,1288499.0,403900.0,33795.0,182.0
DEC18,987879.0,400726.0,33087.0,182.0
JAN19,924107.0,420086.0,33384.0,182.0
FEB19,1284120.0,409417.0,32748.0,182.0
MAR19,1140434.0,431595.0,34431.0,182.0
APR19,1264676.0,444812.0,35591.0,182.0
MAY19,1022403.0,440301.0,34921.0,182.0
JUN19,774681.0,394153.0,31199.0,182.0
JUL19,801422.0,407431.0,32356.0,182.0
AUG19,780326.0,414400.0,32968.0,182.0
SEP19,1238405.0,423381.0,33687.0,183.0
OCT19,1419502.0,455091.0,36292.0,183.0
NOV19,1229313.0,413234.0,32686.0,183.0
DEC19,977125.0,418855.0,33307.0,183.0
JAN20,1055049.0,430302.0,34014.0,182.0
FEB20,1278838.0,486731.0,33233.0,182.0
MAR20,689277.0,435183.0,29896.0,182.0
APR20,110054.0,251850.0,19339.0,55.0
MAY20,,,,
JUN20,,,,
JUL20,,,,
AUG20,,,,
