rank,cross_1,cross_2,impact_index,generated_time,agent_range,agent_interval
108,N Segoe,Kelab,-0.020367157330397456,2020-10-11 20:36:29.231301,0.6,0.05
109,Ganser,Mineral Point,-0.02147824109661945,2020-10-11 20:36:29.231301,0.6,0.05
110,S Broom,W Washington,-0.021708608777295857,2020-10-11 20:36:29.231301,0.6,0.05
111,Milwaukee,N Fair Oaks,-0.021852861566065668,2020-10-11 20:36:29.231301,0.6,0.05
112,S Allen,Rowley,-0.021904272738429507,2020-10-11 20:36:29.231301,0.6,0.05
113,W Olin,Colby,-0.022747542044411387,2020-10-11 20:36:29.231301,0.6,0.05
114,Londonderry,Dryden,-0.02277327397787471,2020-10-11 20:36:29.231301,0.6,0.05
115,Forest Run,Hayes,-0.02277583485630727,2020-10-11 20:36:29.231301,0.6,0.05
116,Milwaukee,N Marquette,-0.022790371041700716,2020-10-11 20:36:29.231301,0.6,0.05
117,Wheeler,Wheeler,-0.02291911420414494,2020-10-11 20:36:29.231301,0.6,0.05
118,State,N Lake,-0.02315397295160515,2020-10-11 20:36:29.231301,0.6,0.05
119,E Washington,N First,-0.023970159563342676,2020-10-11 20:36:29.231301,0.6,0.05
120,Jenifer,Williamson,-0.024265114668856398,2020-10-11 20:36:29.231301,0.6,0.05
121,East Towne,Zeier,-0.024466463481061983,2020-10-11 20:36:29.231301,0.6,0.05
122,E Dayton,Wisconsin,-0.02523300160064633,2020-10-11 20:36:29.231301,0.6,0.05
123,Regent,S Prospect,-0.025824040018447764,2020-10-11 20:36:29.231301,0.6,0.05
124,Northland,Judy,-0.02628971135600154,2020-10-11 20:36:29.231301,0.6,0.05
125,Fourier,1233,-0.026477607979063192,2020-10-11 20:36:29.231301,0.6,0.05
126,N Segoe,Regent,-0.02678289261356144,2020-10-11 20:36:29.231301,0.6,0.05
127,Prairie,Hammersley,-0.028162265909560003,2020-10-11 20:36:29.231301,0.6,0.05
128,E Olin,Colby,-0.02828204211218871,2020-10-11 20:36:29.231301,0.6,0.05
129,J Q Hammons,Holiday,-0.030827484588260172,2020-10-11 20:36:29.231301,0.6,0.05
130,State,N Fairchild,-0.03125865108085165,2020-10-11 20:36:29.231301,0.6,0.05
131,University Row,University,-0.03147466737138757,2020-10-11 20:36:29.231301,0.6,0.05
132,Eagle Heights,Lot E,-0.03250644640553886,2020-10-11 20:36:29.231301,0.6,0.05
133,University,Parmenter,-0.033087653920737814,2020-10-11 20:36:29.231301,0.6,0.05
134,Deming,Park Bank,-0.035439179799303014,2020-10-11 20:36:29.231301,0.6,0.05
135,N Franklin,E Johnson,-0.035980823809696916,2020-10-11 20:36:29.231301,0.6,0.05
136,Heartland,Deming,-0.036700409596148745,2020-10-11 20:36:29.231301,0.6,0.05
137,S Rosa,Regent,-0.03720454084608105,2020-10-11 20:36:29.231301,0.6,0.05
138,Regent,Price,-0.03723302163671467,2020-10-11 20:36:29.231301,0.6,0.05
139,N Segoe,518,-0.03902872310110494,2020-10-11 20:36:29.231301,0.6,0.05
140,N Broom,W Gorham,-0.039037137227952975,2020-10-11 20:36:29.231301,0.6,0.05
141,Aberg,Ruskin,-0.03963699645406844,2020-10-11 20:36:29.231301,0.6,0.05
142,Science,U W Health,-0.04049511038973369,2020-10-11 20:36:29.231301,0.6,0.05
143,Mckenna,Lancaster,-0.04050827628620651,2020-10-11 20:36:29.231301,0.6,0.05
144,N Midvale,Regent,-0.040640666749351115,2020-10-11 20:36:29.231301,0.6,0.05
145,University,N Orchard,-0.04087254989922572,2020-10-11 20:36:29.231301,0.6,0.05
146,E Washington,N Fourth,-0.0412257234843928,2020-10-11 20:36:29.231301,0.6,0.05
147,E Main,S Pinckney,-0.041497412955701835,2020-10-11 20:36:29.231301,0.6,0.05
148,S Fairchild,W Main,-0.04171216080477243,2020-10-11 20:36:29.231301,0.6,0.05
149,N Charter,University,-0.0427148045970562,2020-10-11 20:36:29.231301,0.6,0.05
150,City View,High Crossing,-0.043512629521699306,2020-10-11 20:36:29.231301,0.6,0.05
151,State,W Johnson,-0.04366153296677843,2020-10-11 20:36:29.231301,0.6,0.05
152,Helene,Britta,-0.04388156381305386,2020-10-11 20:36:29.231301,0.6,0.05
153,S Broom,W Doty,-0.04459251842103901,2020-10-11 20:36:29.231301,0.6,0.05
154,Regent,S Orchard,-0.04549880706931006,2020-10-11 20:36:29.231301,0.6,0.05
155,E Cheryl,Woods Hollow,-0.04763281437143968,2020-10-11 20:36:29.231301,0.6,0.05
156,State,N Frances,-0.047845137779518036,2020-10-11 20:36:29.231301,0.6,0.05
157,Excelsior,A F S C M E,-0.04791231620259129,2020-10-11 20:36:29.231301,0.6,0.05
158,W Main,S Carroll,-0.04821047872003607,2020-10-11 20:36:29.231301,0.6,0.05
159,Odana,Town Center,-0.04863482971919064,2020-10-11 20:36:29.231301,0.6,0.05
160,Regent,N Randall,-0.04948622403797515,2020-10-11 20:36:29.231301,0.6,0.05
161,N Carroll,W Mifflin,-0.04949171682858122,2020-10-11 20:36:29.231301,0.6,0.05
162,Delaware,Esch,-0.04990765000068052,2020-10-11 20:36:29.231301,0.6,0.05
163,W Johnson,N Park,-0.051128056804793015,2020-10-11 20:36:29.231301,0.6,0.05
164,E Gorham,N Baldwin,-0.05195162491899239,2020-10-11 20:36:29.231301,0.6,0.05
165,Aberg,Loftsgordan,-0.052278885258597016,2020-10-11 20:36:29.231301,0.6,0.05
166,W Gorham,N Henry,-0.05249863992121195,2020-10-11 20:36:29.231301,0.6,0.05
167,Fish Hatchery,Pike,-0.05258132065870952,2020-10-11 20:36:29.231301,0.6,0.05
168,Independence,Dwight,-0.052951133327011936,2020-10-11 20:36:29.231301,0.6,0.05
169,N Lake,W Johnson,-0.05350628558567899,2020-10-11 20:36:29.231301,0.6,0.05
170,W Johnson,Wisconsin,-0.053798621126722276,2020-10-11 20:36:29.231301,0.6,0.05
171,W Washington,N Broom,-0.05392406631711525,2020-10-11 20:36:29.231301,0.6,0.05
172,Randolph,Westward,-0.05398927249404773,2020-10-11 20:36:29.231301,0.6,0.05
173,W Johnson,N Mills,-0.05403893369364644,2020-10-11 20:36:29.231301,0.6,0.05
174,S Park,Regent,-0.054274776163181396,2020-10-11 20:36:29.231301,0.6,0.05
175,Linden,N Charter,-0.05448145344083841,2020-10-11 20:36:29.231301,0.6,0.05
176,E Washington,N Webster,-0.054499182179570664,2020-10-11 20:36:29.231301,0.6,0.05
177,S Sprecher,Wyalusing,-0.05538300078510934,2020-10-11 20:36:29.231301,0.6,0.05
178,University,N Randall,-0.05589238462454128,2020-10-11 20:36:29.231301,0.6,0.05
179,State,W Gilman,-0.056186530768388136,2020-10-11 20:36:29.231301,0.6,0.05
180,E Washington,N Sixth,-0.05645798712098441,2020-10-11 20:36:29.231301,0.6,0.05
181,King James,Williamsburg,-0.05752504991159589,2020-10-11 20:36:29.231301,0.6,0.05
182,Milwaukee,S Bryan,-0.05799863799718867,2020-10-11 20:36:29.231301,0.6,0.05
183,Allied,Lovell,-0.06062001426431983,2020-10-11 20:36:29.231301,0.6,0.05
184,Eagle Heights,Lot F,-0.060808289872956806,2020-10-11 20:36:29.231301,0.6,0.05
185,E Washington,N Blair,-0.06100875816525661,2020-10-11 20:36:29.231301,0.6,0.05
186,S Whitney,126,-0.061167311966491625,2020-10-11 20:36:29.231301,0.6,0.05
187,E Springs,High Crossing,-0.061313729011800294,2020-10-11 20:36:29.231301,0.6,0.05
188,E Washington,S Webster,-0.06200474369012868,2020-10-11 20:36:29.231301,0.6,0.05
189,E Washington,Zeier,-0.06206035802279642,2020-10-11 20:36:29.231301,0.6,0.05
190,Observatory,N Charter,-0.0623388423776217,2020-10-11 20:36:29.231301,0.6,0.05
191,S Thompson,1306,-0.06336216425188583,2020-10-11 20:36:29.231301,0.6,0.05
192,Lake Mendota,Lot P,-0.0635739840613754,2020-10-11 20:36:29.231301,0.6,0.05
193,N Thompson,Lien,-0.06386728498062008,2020-10-11 20:36:29.231301,0.6,0.05
194,Regent,Highland,-0.06404864945354956,2020-10-11 20:36:29.231301,0.6,0.05
195,S Midvale,Nakoma,-0.0643407872632047,2020-10-11 20:36:29.231301,0.6,0.05
196,Carnwood,Maple Grove,-0.06505230134747833,2020-10-11 20:36:29.231301,0.6,0.05
197,Fish Hatchery,Appleton,-0.06532541372966161,2020-10-11 20:36:29.231301,0.6,0.05
198,W Badger,Fiedler,-0.06620368289967576,2020-10-11 20:36:29.231301,0.6,0.05
199,Milwaukee,N Bryan,-0.06762092490736576,2020-10-11 20:36:29.231301,0.6,0.05
200,Williamson,Rogers,-0.06768146878622841,2020-10-11 20:36:29.231301,0.6,0.05
