X,Y,OBJECTID,IntersectionID,InterDescription,Lat,Lon,Weekday,Saturday,Sunday,Weekday_1_79,Saturday_1_79,Sunday_1_79,WkdCash,WkdSvc,WkdBdPerSvc,DotSize
-89.4749959494599,43.0246730697189,1290,278,,43.024681,-89.475002,32.72,15.84,18.94,0,0,0,0,0,0,163620.8
-89.4558709558613,43.0254000684984,1291,279,,43.025408,-89.455877,9.39,2.35,0.67,0,0,0,0,0,0,46944.69
-89.4753269490915,43.0276960691951,1292,280,,43.027704,-89.475333,6.23,1.01,0.34,0,0,0,0,0,0,31138.91
-89.4923449446104,43.0262050701198,1293,281,,43.026213,-89.492351,4.49,0.33,0.67,0,0,0,0,0,0,22437.34
-89.4126369679792,43.0265180657232,1294,282,,43.026526,-89.412643,48.89,12.67,12.13,0,0,0,0,0,0,244426.82
-89.4947529439038,43.0265670705129,1295,283,,43.026575,-89.494759,0.79,0.33,0,0,0,0,0,0,0,3934.04
-89.4622899532967,43.0266430686197,1296,284,,43.026651,-89.462296,3.89,0,0,0,0,0,0,0,0,19466.4
-89.4149039672026,43.0268940659963,1297,285,,43.026902,-89.41491,29.19,13,11.45,0,0,0,0,0,0,145928.77
-89.4640029533135,43.0279500685035,1298,286,,43.027958,-89.464009,3,0,0,0,0,0,0,0,0,15016.93
-89.3825869770412,43.0280300643552,1299,287,,43.028038,-89.382593,5.85,1.34,0.67,0,0,0,0,0,0,29238.36
-89.4594039543283,43.0289740681919,1300,288,,43.028982,-89.45941,37.93,14.8,11,0,0,0,0,0,0,189637.25
-89.4888539450795,43.0293410700395,1301,289,,43.029349,-89.48886,4.05,2.67,1.67,0,0,0,0,0,0,20260.45
-89.4314419622393,43.0298150665467,1302,290,,43.029823,-89.431448,2,0,0,0,0,0,0,0,0,10004.6
-89.3995579721804,43.0300710647749,1303,291,,43.030079,-89.399564,22.29,0,0,0,0,0,0,0,0,111470.53
-89.5079719395965,43.0306330705035,1304,292,,43.030641,-89.507978,7.47,1.33,2.33,0,0,0,0,0,0,37335.62
-89.4108169677839,43.031265065122,1305,293,,43.031273,-89.410823,6.16,6.06,7.67,0,0,0,0,0,0,30787.97
-89.4590279545589,43.0313140681583,1306,294,,43.031322,-89.459034,13.09,8.07,6.33,0,0,0,0,0,0,65443.59
