rank,cross_1,cross_2,impact_index,generated_time,agent_range,agent_interval
162,City View,High Crossing,-0.035398870387444686,2020-10-11 20:44:49.553485,0.6,0.05
163,E Johnson,N Blair,-0.03597550531353004,2020-10-11 20:44:49.553485,0.6,0.05
164,State,W Gilman,-0.0360875840223882,2020-10-11 20:44:49.553485,0.6,0.05
165,East Towne,Zeier,-0.036159318296324974,2020-10-11 20:44:49.553485,0.6,0.05
166,S Allen,Commonwealth,-0.036480140591341,2020-10-11 20:44:49.553485,0.6,0.05
167,Milwaukee,S Bryan,-0.0367119380984562,2020-10-11 20:44:49.553485,0.6,0.05
168,Milwaukee,N Marquette,-0.03701006993057265,2020-10-11 20:44:49.553485,0.6,0.05
169,W Johnson,N Frances,-0.03729008082774094,2020-10-11 20:44:49.553485,0.6,0.05
170,Melody,Stuart,-0.037531773861488274,2020-10-11 20:44:49.553485,0.6,0.05
171,Excelsior,John Deere,-0.03765881359495492,2020-10-11 20:44:49.553485,0.6,0.05
172,E Washington,N Webster,-0.037700091742884266,2020-10-11 20:44:49.553485,0.6,0.05
173,N Midvale,Regent,-0.03817118734081442,2020-10-11 20:44:49.553485,0.6,0.05
174,Regent,S Orchard,-0.03886484846273061,2020-10-11 20:44:49.553485,0.6,0.05
175,Regent,Price,-0.038888755928520535,2020-10-11 20:44:49.553485,0.6,0.05
176,Prairie,Hammersley,-0.039096118201069896,2020-10-11 20:44:49.553485,0.6,0.05
177,N Charter,University,-0.03922176938145094,2020-10-11 20:44:49.553485,0.6,0.05
178,N Hamilton,E Johnson,-0.04039231520024572,2020-10-11 20:44:49.553485,0.6,0.05
179,Kings Mill,E Buckeye,-0.04058657530821952,2020-10-11 20:44:49.553485,0.6,0.05
180,Independence,Dwight,-0.041157069870818436,2020-10-11 20:44:49.553485,0.6,0.05
181,University Row,University,-0.041159330568460786,2020-10-11 20:44:49.553485,0.6,0.05
182,W Johnson,N Park,-0.04235547693378774,2020-10-11 20:44:49.553485,0.6,0.05
183,S Sprecher,Wyalusing,-0.04240131992722172,2020-10-11 20:44:49.553485,0.6,0.05
184,N Segoe,Regent,-0.04241064107175539,2020-10-11 20:44:49.553485,0.6,0.05
185,University,N Orchard,-0.042770058156323634,2020-10-11 20:44:49.553485,0.6,0.05
186,E Washington,N Fourth,-0.04295545380950836,2020-10-11 20:44:49.553485,0.6,0.05
187,Helene,Britta,-0.04319272084666774,2020-10-11 20:44:49.553485,0.6,0.05
188,Regent,S Prospect,-0.04376897276187301,2020-10-11 20:44:49.553485,0.6,0.05
189,State,N Fairchild,-0.04422972941395609,2020-10-11 20:44:49.553485,0.6,0.05
