OBJECTID,WARD,ALD_DIST,SUP_DIST,ASM_DIST,SEN_DIST,ADDRESS,HANDICAP_ACCESS,SPEC_COMMENTS,PHONE_NO,BALLOT_COLOR,SHAPESTArea,SHAPESTLength
19632,-1,-1,16,47,16,,,,,,6475429.79486084,17565.8503881165
19633,-1,-1,16,47,16,,,,,,81168.0227355957,1197.80478791732
19634,-1,-1,10,77,26,,,,,,22314488.5761414,28666.2876469102
19635,-1,-1,12,48,16,,,,,,19674024.7539673,29581.2428264805
19636,-1,-1,2,47,16,,,,,,1009054.52807617,4777.1157260698
19637,-1,-1,21,79,27,,,,,,110968834.747681,142877.382965981
19638,-1,-1,21,46,16,,,,,,42748424.3989258,38522.3208654259
19639,-1,-1,9,79,27,,,,,,60829964.4507141,56980.1378941342
19640,-1,-1,29,79,27,,,,,,1559466786.35092,365553.153593751
19641,-1,-1,29,79,27,,,,,,47585.4640197754,875.847477793864
19642,-1,-1,29,79,27,,,,,,429099.519805908,3248.97431180467
19643,-1,-1,29,79,27,,,,,,2454.20120239258,223.302736620068
19644,-1,-1,32,79,27,,,,,,230475667.416473,72623.6798111768
19645,-1,-1,32,80,27,,,,,,629969594.542725,152261.228679562
19646,-1,-1,27,47,16,,,,,,79911780.4745178,71454.4259757012
19647,-1,-1,23,47,16,,,,,,19951337.6425171,29650.0929173095
19648,-1,-1,33,47,16,,,,,,331295951.954163,113787.588332835
19649,-1,-1,16,47,16,,,,,,53578532.4108276,46301.8299946842
19650,-1,-1,16,47,16,,,,,,15477060.7294006,20615.3901134328
19651,-1,-1,16,47,16,,,,,,205550.532287598,1966.84561240172
19652,-1,-1,24,47,16,,,,,,93871770.2457581,75618.7188695831
19653,-1,-1,16,47,16,,,,,,1287165.38891602,4646.91280715547
19654,-1,-1,16,47,16,,,,,,10423237.6187134,17618.6456641254
19655,-1,-1,16,47,16,,,,,,29921878.5905457,32203.1250754327
19656,-1,-1,34,47,16,,,,,,1048869114.96927,151413.890919527
19657,-1,-1,36,47,16,,,,,,280905796.923859,77830.9851156003
19658,-1,-1,21,79,27,,,,,,13059328.8140564,25242.6904658874
19659,-1,-1,20,46,16,,,,,,1339242.61984253,4867.05932260517
19660,-1,-1,22,37,13,,,,,,6892274.93463135,13621.0666201483
19661,-1,-1,21,79,27,,,,,,296514408.626373,194858.665696337
19662,-1,-1,25,79,27,,,,,,438972685.258057,160302.428987684
19663,-1,-1,26,79,27,,,,,,6378188.2875061,11039.1179448341
19664,-1,-1,26,79,27,,,,,,184805820.722015,128784.989237687
19665,-1,-1,33,80,27,,,,,,569422797.655701,113067.54213757
19666,-1,-1,32,80,27,,,,,,96707.2000732422,1417.97621396288
19667,115,1,32,80,27,,,,,,43255.9351196289,2087.1488364492
19668,116,1,32,80,27,,,,,,124522.128692627,7468.91106634169
19669,1,16,16,47,16,,,,,,352504.815246582,2904.70237469212
19670,69,13,4,77,26,,,,,,6942436.23080444,10317.3515371553
19671,69,13,4,77,26,,,,,,641105.54196167,4033.64479051178
19672,69,13,4,77,26,,,,,,582369.103363037,3472.95476131307
19673,117,19,15,79,27,,,,,,30719.9946899414,757.788695175073
19674,-1,-1,24,47,16,,,,,,20472.1616210938,600.378040114242
19675,118,18,21,79,27,,,,,,292379.741973877,2410.77583910047
19676,-1,-1,29,79,27,,,,,,993851573.631592,150683.706121617
19677,-1,-1,28,79,27,,,,,,1043019546.77408,158980.134964596
19678,-1,-1,30,80,27,,,,,,4073683156.58069,356348.444856943
19679,-1,-1,29,42,14,,,,,,1008783828.65018,127157.378747867
19680,-1,-1,36,46,16,,,,,,1699648840.98083,275794.916961277
19681,-1,-1,37,38,13,,,,,,2014146009.52408,190795.269077387
19682,-1,-1,20,37,13,,,,,,1307762132.41,202891.798644949
19683,-1,-1,37,43,15,,,,,,2553549118.32272,327577.971689861
19684,-1,-1,20,42,14,,,,,,225793450.573853,69130.0498427038
19685,-1,-1,28,81,27,,,,,,1406167768.46136,162310.602825338
19686,-1,-1,31,80,27,,,,,,86829312.9695435,73481.0418172687
19687,-1,-1,31,80,27,,,,,,881884529.359619,177335.352127983
19688,-1,-1,37,46,16,,,,,,1573302.00949097,8869.35018861432
19689,-1,-1,20,37,13,,,,,,998192894.294952,126346.191651367
19690,-1,-1,37,46,16,,,,,,187934951.017242,82587.1760236665
19691,-1,-1,37,46,16,,,,,,319722.687316895,2292.46095454336
19692,-1,-1,37,46,16,,,,,,128306535.997833,60287.7443864681
19693,-1,-1,35,46,16,,,,,,59833.4419555664,1017.19946201512
19694,-1,-1,37,46,16,,,,,,4587409.62905884,26637.9722249424
19695,-1,-1,35,46,16,,,,,,786059.734100342,4540.43507789683
19696,-1,-1,37,46,16,,,,,,1159238.04556274,7999.65760478629
19697,-1,-1,35,46,16,,,,,,158384498.961029,157067.160545129
19698,-1,-1,20,46,16,,,,,,827789131.231049,174790.546001217
19699,-1,-1,28,80,27,,,,,,2903674011.67633,332506.641234164
19700,-1,-1,29,81,27,,,,,,1000016436.86093,128064.841013361
19701,-1,-1,22,79,27,,,,,,103325923.779419,69232.5862362435
19702,-1,-1,28,79,27,,,,,,2065433.68826294,6828.58590728625
19703,-1,-1,22,37,13,,,,,,105660860.576874,70331.9604380849
19704,-1,-1,22,42,14,,,,,,114939548.963043,56310.7353540316
19705,-1,-1,22,37,13,,,,,,85836482.7103271,52848.4751909399
19706,-1,-1,29,42,14,,,,,,1375106.66287231,4728.63991364561
19707,-1,-1,29,37,13,,,,,,4000.00042724609,260.008384525144
19708,-1,-1,19,46,16,,,,,,149751600.678558,98071.9275697792
19709,-1,-1,20,38,13,,,,,,991485986.510925,126270.946254917
19710,-1,-1,3,46,16,,,,,,143101044.274994,86850.0712091397
19711,-1,-1,31,43,15,,,,,,34436460.7590942,44104.4923811529
19712,121,1,32,80,27,,,,,,405725.064727783,3583.62614122135
19713,122,9,15,79,27,,,,,,2081104.41055298,6524.62528037337
19714,-1,-1,23,77,26,,,,,,1166.33728027344,168.391836643515
19715,124,9,15,79,27,,,,,,10873028.6804199,17307.354796136
19716,125,1,32,79,27,,,,,,223601.353912354,3450.48473451873
19717,126,17,21,79,27,,,,,,1131584.35913086,4632.51521126963
19718,127,9,15,79,27,,,,,,3835161.81866455,10678.8480165154
19719,-1,-1,15,79,27,,,,,,3429645.70031738,7918.2124287242
19720,29,12,2,76,26,,,,,,527223.933166504,3378.78333037011
19721,29,12,2,76,26,,,,,,21752281.8748474,23701.6875881639
19722,1,16,16,47,16,,,,,,26756.5377807617,712.619506332925
19723,-1,-1,9,78,26,,,,,,11354.7562561035,729.076982599948
19724,-1,-1,16,47,16,,,,,,4069870.43429565,14654.0291865437
19725,1,16,16,47,16,,,,,,108006807.064392,122858.1033659
19726,7,16,16,47,16,,,,,,16734061.6559143,30971.5266241806
19727,-1,-1,-1,-1,-1,,,,,,1884517.29168701,10225.2710670427
19728,130,3,16,48,16,,,,,,96402.6998901367,3540.05109925841
19729,128,3,16,48,16,,,,,,758215.021118164,3956.72618684582
19730,129,3,16,48,16,,,,,,5892408.55410767,12684.6487634306
19731,131,3,16,48,16,,,,,,428905.875091553,6520.45456564642
19732,131,16,16,48,16,,,,,,388542.418212891,3066.41062242637
19733,132,16,16,47,16,,,,,,56727.3484802246,1013.3401660104
19734,133,16,16,48,16,,,,,,204998.398406982,2111.07696918641
19735,134,16,16,47,16,,,,,,32323925.2854614,40990.3064821462
19736,135,18,18,48,16,,,,,,247319.883087158,3230.88012122169
19737,137,1,15,79,27,,,,,,2992342.98483276,8797.38105524956
19738,136,17,21,48,16,,,,,,26787.0564880371,657.279370133019
19739,138,9,9,78,26,,,,,,1418753.47689819,4769.6447394725
19740,139,14,23,77,26,,,,,,97751.6060180664,1360.86870495077
