Ward,2 unit Apartment,3-7 unit Apartment,Condominium,Other,Single family,None.HS,East,Lafollette,Memorial,Optional,West,2008Registered_Voters,2009Registered_Voters,2010Registered_Voters,2011Registered_Voters,2012Registered_Voters,2013Registered_Voters,2014Registered_Voters,2015Registered_Voters,2016Registered_Voters,2017Registered_Voters,2018Registered_Voters,2019Registered_Voters,2008Turnout,2009Turnout,2010Turnout,2011Turnout,2012Turnout,2013Turnout,2014Turnout,2015Turnout,2016Turnout,2017Turnout,2018Turnout,2019Turnout,m,lat,lon,people in one unit,condo,2 unit,2 more,total
128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,12,6,0,0,0,0,0,0,0,0,4,0,2,0,0.08,43.10602197,-89.26937148,0,0,0,0,0
129,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,20,10,0,0,0,0,0,0,0,0,2,2,6,0,0.09,43.10499553,-89.25393885,2.57302565,0,0,0,2.57302565
130,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43.09921736,-89.27054296,2.57302565,0,0,0,2.57302565
131,0,0,0,0,1,0,0,1,0,0,0,2,2,5,14,0,0,0,0,16,10,14,8,1,0,7,9,0,0,0,0,12,12,14,7,0.76,43.08637017,-89.26418372,2.57302565,0,0,0,2.57302565
132,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,6,12,6,1,0,2,2,0,0,0,0,7,8,10,10,0.6,43.08338065,-89.26639903,5.146051301,0,0,0,5.146051301
133,0,0,0,0,4,0,0,1,0,0,0,4,4,7,6,0,0,0,0,8,8,8,4,6,2,3,4,0,0,0,0,0,0,0,0,0.37,43.08485529,-89.26850497,10.2921026,0,0,0,10.2921026
134,0,0,0,0,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,60,48,84,52,2395,0,0,0,0,0,0,0,20,15,44,11,0.17,43.07684853,-89.25848742,36.02235911,0,0,0,36.02235911
135,0,0,0,0,1,1,0,0,0,0,0,14,40,63,74,0,0,0,0,0,0,0,0,21,6,21,20,0,0,0,0,0,0,0,0,0.28,43.15247616,-89.36325584,2.57302565,0,0,0,2.57302565
136,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,7,4,0.16,43.10914136,-89.29093368,2.57302565,0,0,0,2.57302565
137,0,0,0,0,0,1,0,0,0,0,0,8,46,74,110,0,0,0,0,0,0,0,0,26,10,111,47,0,0,0,0,0,0,0,0,0.64,43.03855471,-89.56448789,0,0,0,0,0
138,0,0,0,0,0,1,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0.04,43.07387018,-89.568842,0,0,0,0,0
139,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.03878007,-89.37706975,0,0,0,0,0
140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,43.04972268,-89.54686581,0,0,0,0,0
141,0,0,0,0,38,1,0,0,0,0,0,6,12,18,10,0,0,0,0,0,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0.13,43.06949429,-89.56635827,97.77497471,0,0,0,97.77497471
142,0,0,0,0,0,1,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,3,16,2,1,2,0,0,0,0,0,0,3,3,0.38,43.05205679,-89.50231025,0,0,0,0,0
143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.15801275,-89.30643901,0,0,0,0,0
144,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.00677833,-89.50164058,0,0,0,0,0
145,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43.16734145,-89.32184667,0,0,0,0,0
