OBJECTID,ZONING_CODE,ZON_ANNO,PD_ID,ZON_PREFIX,Zoning_Document,Zoning_District,ShapeSTArea,ShapeSTLength
387464,TR-C3, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,48878.7731628418,942.638437908031
387465,CN, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,354723.519622803,2860.74056969381
387466,TR-C3, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,33146.256072998,802.661723412457
387467,PR, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,2820767.52301025,8778.16162421158
387468,TSS, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,413501.079833984,4788.15778134381
387469,PR, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,740860.131164551,3659.74793377304
387470,PD, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,107054.897979736,1470.75580979123
387471,SE, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,986909.403076172,6758.73386736758
387472,SR-V2, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,187438.308563232,1829.13274738634
387473,SR-V2, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,56475.2211914062,1087.12073230245
387474,TR-V2, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,16532.895111084,514.851422694393
387475,PD, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,26434.4406738281,1674.17005405101
387476,NMX, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,39468.1027526855,809.205082225143
387477,TR-V1, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,25501.1628723145,755.678487854745
387478,PD, ,0, ,https://library.municode.com/wi/madison/codes/code_of_ordinances?nodeId=COORMAWIVOIICH20--31_CH28ZOCOOR,http://www.cityofmadison.com/assessor/documents/ZoningDistricts.pdf,130289.339508057,2753.80283536143
